Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
LSO,2022-01-01,2022-12-31,122,'426,Lesotho,56,'0112,Maize (corn),5532,Producer Price (USD/tonne),2022,2022,7021,Annual value,USD,237.800000,A
LSO,2021-01-01,2021-12-31,122,'426,Lesotho,619,'01359.90,"Other fruits, n.e.c.",5530,Producer Price (LCU/tonne),2021,2021,7021,Annual value,LCU,11366.700000,A
LSO,2022-01-01,2022-12-31,122,'426,Lesotho,619,'01359.90,"Other fruits, n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7021,Annual value,LCU,11933.300000,A
LSO,2022-01-01,2022-01-31,122,'426,Lesotho,619,'01359.90,"Other fruits, n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7001,January,LCU,13124.400000,A
LSO,2022-02-01,2022-02-28,122,'426,Lesotho,619,'01359.90,"Other fruits, n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7002,February,LCU,13501.700000,A
LSO,2022-03-01,2022-03-31,122,'426,Lesotho,619,'01359.90,"Other fruits, n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7003,March,LCU,13993.300000,A
LSO,2022-04-01,2022-04-30,122,'426,Lesotho,619,'01359.90,"Other fruits, n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7004,April,LCU,13447.200000,A
LSO,2022-05-01,2022-05-31,122,'426,Lesotho,619,'01359.90,"Other fruits, n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7005,May,LCU,10426.100000,A
LSO,2022-06-01,2022-06-30,122,'426,Lesotho,619,'01359.90,"Other fruits, n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7006,June,LCU,12256.700000,A
LSO,2022-07-01,2022-07-31,122,'426,Lesotho,619,'01359.90,"Other fruits, n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7007,July,LCU,10789.400000,A
LSO,2022-08-01,2022-08-31,122,'426,Lesotho,619,'01359.90,"Other fruits, n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7008,August,LCU,8308.900000,A
LSO,2022-09-01,2022-09-30,122,'426,Lesotho,619,'01359.90,"Other fruits, n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7009,September,LCU,11550.000000,A
LSO,2021-01-01,2021-12-31,122,'426,Lesotho,619,'01359.90,"Other fruits, n.e.c.",5531,Producer Price (SLC/tonne),2021,2021,7021,Annual value,SLC,11366.700000,A
LSO,2022-01-01,2022-12-31,122,'426,Lesotho,619,'01359.90,"Other fruits, n.e.c.",5531,Producer Price (SLC/tonne),2022,2022,7021,Annual value,SLC,11933.300000,A
LSO,2021-01-01,2021-12-31,122,'426,Lesotho,619,'01359.90,"Other fruits, n.e.c.",5532,Producer Price (USD/tonne),2021,2021,7021,Annual value,USD,769.100000,A
LSO,2022-01-01,2022-12-31,122,'426,Lesotho,619,'01359.90,"Other fruits, n.e.c.",5532,Producer Price (USD/tonne),2022,2022,7021,Annual value,USD,729.600000,A
LSO,2021-01-01,2021-12-31,122,'426,Lesotho,463,'01290.90,"Other vegetables, fresh n.e.c.",5530,Producer Price (LCU/tonne),2021,2021,7021,Annual value,LCU,3187.400000,A
LSO,2022-01-01,2022-12-31,122,'426,Lesotho,463,'01290.90,"Other vegetables, fresh n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7021,Annual value,LCU,3486.100000,A
LSO,2022-01-01,2022-01-31,122,'426,Lesotho,463,'01290.90,"Other vegetables, fresh n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7001,January,LCU,2830.000000,A
LSO,2022-02-01,2022-02-28,122,'426,Lesotho,463,'01290.90,"Other vegetables, fresh n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7002,February,LCU,3003.000000,A
LSO,2022-03-01,2022-03-31,122,'426,Lesotho,463,'01290.90,"Other vegetables, fresh n.e.c.",5530,Producer Price (LCU/tonne),2022,2022,7003,March,LCU,3547.000000,A
